note_id,content
5148506918751484,#韩在野党魁李在明改判无罪 选总统清除重大障碍# 南韩最大在野党共同民主党党魁李在明涉嫌违反《公职选举法》进行上诉，今（26）日二审推翻一审判决，改判无罪，他原本一审被判褫夺被选举权，处1年有期徒刑，如今判决被推翻，等于为他竞选总统扫除重大障碍。 韩联社报导，首尔高等法院今日推翻一审认定 ...全文
5148505699781704,#李在明二审无罪##李在明二审被判无罪#  李在明也是个狠人，被人当众抹过脖子，这哥们儿是一点都不畏惧。第一次竞选总统，在党内初选阶段输给了文在寅，第二次竞选输给了尹锡悦，现在是第三次竞选。韩国的民选总统基本有个特质，就是锲而不舍。 李在明唯一的短板可能就是有个法盲老婆  ...全文
5148487968885601,【要案陆续宣判 #韩国政局变动进度条到哪了#】本周韩国政坛进入“激荡一周”。3月26日，韩国最大在野党党首#李在明二审无罪#，一审的有罪判决被推翻。此前一项民意调查结果显示，李在明被视为下届总统最热门人选。 24日，韩国宪法法院驳回国会对被停职国务总理韩德洙的弹劾诉讼，韩德洙立即恢复国务总 ...全文
5148487457445409,【#李在明涉违反选举法案二审改判无罪#】当地时间3月26日，韩国首尔高等法院对最大在野党共同民主党党首李在明涉嫌违反《公职选举法》一案进行二审宣判，推翻一审判决，判定李在明无罪。二审判决当天，李在明呼吁立即弹劾尹锡悦。他表示，无法理解尹锡悦涉嫌“内乱罪”首次公审为什么要拖到4月14日，全 ...全文
5148481561297183,诗卓卓   当地时间3月26日， 韩国首尔高等法院推翻了一审判决， 判定李在明无罪。  一审判决 去年11月，首尔中央地方法院一审认定李在明说谎，违反《公职选举法》，判处他一年监禁、缓刑两年23。李在明随后提出上诉。  二审判决 在二审中，首尔高等法院认为李在明的相关发言不属于虚假事 ...全文
5148480599491136,“宪法法院若再拖延将引发危机”……尹锡悦弹劾案迟迟未决，市民不安情绪高涨 : 韩民族日报  网页链接 截至25日，总统尹锡悦弹劾案法庭辩论结束已满一个月，然而宪法法院仍未发布任何有关该案宣判日期的公告。尹锡悦弹劾案在国会通过已过去100多天，但仍未得出结论，市民们的不安情绪日益 ...全文
5148477509601737,#李在明二审无罪#李在明逃过一劫，二审被判无罪，过几年可以争取大统领位置了。就此推断，正常情况下，尹锡悦的结果，也可能无罪。这是政治平衡。目前，两排实力不相上下，老百姓也是两派。 
5148477467657295,期待韩国宪法法院不通过尹锡悦弹劾案 北京作家李文豹的微博视频 
5148473876025415,【李在明被改判无罪 离成为总统又近一步】当地时间3月26日，韩国首尔高等法院对韩最大在野党党首李在明涉嫌违反《公职选举法》案作出二审宣判，推翻一审判决，判定李在明无罪。韩国日前民调显示，李在明是下届总统最热门人选。  去年11月15日，首尔中央地方法院对李在明案进行一审宣判，判处其有期徒刑 ...全文
5148473490672652,#李在明二审无罪#在野党的李在明很有些不屈不挠的意思。扳不倒尹锡悦很有可能敲山震虎反被虎震虎，但很显然，他依旧在战斗。 
