id,user_id,nickname,avatar,gender,profile_url,ip_location,add_ts,last_modify_ts,note_id,content,create_time,create_date_time,liked_count,comments_count,shared_count,note_url,source_keyword
21,1271532204,田小疯,"https://tvax4.sinaimg.cn/crop.0.0.500.500.180/4bca0aacly8h8x3gpv70gj20dw0dw0sw.jpg?KID=imgbed,tva&Expires=1743091772&ssig=6OiSq7M668",f,https://m.weibo.cn/u/1271532204?,贵州,1743079675492,1743080986841,5148866430109182,发布了文章 《婴儿海外收养创汇，政府漠视人权几十年，这居然发生在发达国家。》 婴儿海外收养创汇，政府漠视人权几十年，这居然发生在发达国家。 ,1743097681,2025-03-27 17:48:01+08:00,0,0,0,https://m.weibo.cn/detail/5148866430109182,尹锡悦
22,1993305471,奋斗在韩国,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/76cf6d7fly8gdim1gqd89j20e80e8q3b.jpg?KID=imgbed,tva&Expires=1743091772&ssig=7NGNNdCHCr",f,https://m.weibo.cn/u/1993305471?,韩国,1743079675495,1743080973224,5148822821409325,看IU的捐款记录就能知道韩国这一年发生了什么事件、事故 #海外新鲜事#   2014年 - 为世越号遇难者举行8场小剧场演唱会，捐献全部收入  2019年 -为4月江原道山火受灾的灾民捐款1亿韩元  2020年 (新冠疫情 / 暴雨) -向新冠疫情中的低收入层弱势群体捐赠1亿韩元 -向大韩医生协会捐赠1亿韩元 -向大韩护士协 ...全文,1743087284,2025-03-27 14:54:44+08:00,516,34,36,https://m.weibo.cn/detail/5148822821409325,尹锡悦
23,3738708562,韩联社中文网微博,"https://tva3.sinaimg.cn/crop.9.8.186.186.180/ded82a52jw8f7cpgtl7x5j205k05kaaa.jpg?KID=imgbed,tva&Expires=1743091793&ssig=nbKs4129Uk",m,https://m.weibo.cn/u/3738708562?,,1743079675497,1743080993303,5148846321830688,【韩国国会议长敦促宪院早日裁决尹锡悦弹劾案】韩国国会议长禹元植27日发表谈话，敦促宪法裁判所（宪法法院）早日对总统尹锡悦弹劾案进行宣判。网页链接 #韩国时局##尹锡悦弹劾案# ,1743092887,2025-03-27 16:28:07+08:00,6,0,0,https://m.weibo.cn/detail/5148846321830688,尹锡悦
24,5419385632,猪猪侠呱呱呱,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/005ULbLGly8gy34g0geg5j30e80e8q3f.jpg?KID=imgbed,tva&Expires=1743091793&ssig=ODrZKfXWlh",f,https://m.weibo.cn/u/5419385632?,江苏,1743079675500,1743080993306,5148844682643671,金秀贤  有没有课代表说一下尹锡悦和金秀贤这个事有啥关联 他宣判对这个事有啥影响 ,1743092496,2025-03-27 16:21:36+08:00,0,3,0,https://m.weibo.cn/detail/5148844682643671,尹锡悦
25,3176105483,苍龙飞天79,"https://tvax2.sinaimg.cn/crop.0.0.940.940.180/bd4f860bly8hqj4zaveomj20q40q4jva.jpg?KID=imgbed,tva&Expires=1743091793&ssig=KXl6ISJJhP",m,https://m.weibo.cn/u/3176105483?,江苏,1743079675503,1743080993309,5148835673276846,#李在明二审被判无罪#当地时间今天（3月26日）下午，韩国首尔高等法院对韩国最大在野党共同民主党党首李在明涉嫌违反韩国《公职选举法》案件作出二审裁决，推翻一审判决，判定李在明无罪。2024年11月15日，韩国首尔中央地方法院作出一审判决，李在明违反《公职选举法》罪名成立，对其判处有期徒刑一年 ...全文,1743090348,2025-03-27 15:45:48+08:00,2,1,0,https://m.weibo.cn/detail/5148835673276846,尹锡悦
26,6668907673,宁波顶流缸鸭狗,"https://tvax3.sinaimg.cn/crop.0.0.896.896.180/007hk3wZly8hmbvip0w8ij30ow0ow0u7.jpg?KID=imgbed,tva&Expires=1743091793&ssig=qrHrZqHSuN",f,https://m.weibo.cn/u/6668907673?,山东,1743079692401,1743080993312,5148831486317943,새날真的太左了，李在明敬称李代表，尹大统领平称尹锡悦，李在明二审无罪欢天喜地高呼万岁，听一听还蛮有意思的。 ,1743089350,2025-03-27 15:29:10+08:00,0,0,0,https://m.weibo.cn/detail/5148831486317943,尹锡悦
27,5553765754,826老逗,"https://tva4.sinaimg.cn/crop.0.0.720.720.180/0063R2b0jw8erzg2p38ynj30k00k0759.jpg?KID=imgbed,tva&Expires=1743091793&ssig=ZDR%2B3t5Y%2FE",m,https://m.weibo.cn/u/5553765754?,上海,1743079692409,1743080993315,5148826131238043,李再明二審被判無罪 那麽接下來尹錫悅的彈劾案怎麼判就成了關鍵了 ,1743088073,2025-03-27 15:07:53+08:00,0,0,0,https://m.weibo.cn/detail/5148826131238043,尹锡悦
28,3939426052,地瓜熊老六,"https://tvax2.sinaimg.cn/crop.0.40.649.649.180/eacedf04ly8geb0ltyihbj20j60j60tm.jpg?KID=imgbed,tva&Expires=1743091793&ssig=k7%2FAhfQoXW",m,https://m.weibo.cn/u/3939426052?,辽宁,1743079692412,1743080993299,5148816765883325,李在明被判无罪后表示，尹锡悦政府浪费了这么多精力来证明这些显而易见的事情，这真的很荒谬。如果检方和尹锡悦政府能把为了抓捕李在明而花在伪造证据、捏造案件上的精力，用来防治山火和改善民生，那世界得有多美好啊。此时此刻，韩国山火还在蔓延，有人正在死去，经济已经被毁。我希望检察官们现在能 ...全文,1743085840,2025-03-27 14:30:40+08:00,30,4,5,https://m.weibo.cn/detail/5148816765883325,尹锡悦
29,6486820574,真实星球,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/007502mily8fysvlw30v3j30u00u0408.jpg?KID=imgbed,tva&Expires=1743091793&ssig=TP3zMdjuX3",m,https://m.weibo.cn/u/6486820574?,重庆,1743079692414,1743080993318,5148811253779620,发布了头条文章：《李在明违选案二审无罪，审案法官有何来历？尹锡悦境况更加困难》  李在明违选案二审无罪，审案法官有何来历？尹锡悦境况更加困难 ,1743084526,2025-03-27 14:08:46+08:00,0,0,0,https://m.weibo.cn/detail/5148811253779620,尹锡悦
30,7880731559,恒星云流浪者,"https://tvax3.sinaimg.cn/crop.0.0.132.132.180/008BkKhxly4hja512yg3qj303o03ot8l.jpg?KID=imgbed,tva&Expires=1743091793&ssig=WULuKKrrjk",m,https://m.weibo.cn/u/7880731559?,广东,1743079692417,1743080993321,5148794639354524,发布了头条文章：《解码韩国宪政危机背后的“弹劾悬案”与生死博弈》 解码韩国宪政危机背后的“弹劾悬案”与生死博弈 ,1743080565,2025-03-27 13:02:45+08:00,0,0,0,https://m.weibo.cn/detail/5148794639354524,尹锡悦
